14
0 1 2
0 2 5
0 3 7
0 4 9
0 5 6
0 6 4
0 7 1
0 8 1
0 9 3
0 10 1
0 11 5
0 12 3
0 13 4
1 0 2
1 2 4
1 3 6
1 4 9
1 5 6
1 6 5
1 7 2
1 8 3
1 9 4
1 10 3
1 11 5
1 12 4
1 13 4
2 0 5
2 1 4
2 3 2
2 4 7
2 5 4
2 6 4
2 7 5
2 8 6
2 9 8
2 10 6
2 11 3
2 12 5
2 13 2
3 0 7
3 1 6
3 2 2
3 4 5
3 5 3
3 6 4
3 7 6
3 8 7
3 9 10
3 10 7
3 11 2
3 12 5
3 13 3
4 0 9
4 1 9
4 2 7
4 3 5
4 5 3
4 6 5
4 7 8
4 8 9
4 9 11
4 10 9
4 11 4
4 12 6
4 13 6
5 0 6
5 1 6
5 2 4
5 3 3
5 4 3
5 6 2
5 7 5
5 8 6
5 9 8
5 10 6
5 11 1
5 12 3
5 13 2
6 0 4
6 1 5
6 2 4
6 3 4
6 4 5
6 5 2
6 7 3
6 8 4
6 9 7
6 10 4
6 11 2
6 12 1
6 13 2
7 0 1
7 1 2
7 2 5
7 3 6
7 4 8
7 5 5
7 6 3
7 8 1
7 9 4
7 10 1
7 11 4
7 12 2
7 13 3
8 0 1
8 1 3
8 2 6
8 3 7
8 4 9
8 5 6
8 6 4
8 7 1
8 9 2
8 10 0
8 11 6
8 12 3
8 13 5
9 0 3
9 1 4
9 2 8
9 3 10
9 4 11
9 5 8
9 6 7
9 7 4
9 8 2
9 10 3
9 11 8
9 12 5
9 13 7
10 0 1
10 1 3
10 2 6
10 3 7
10 4 9
10 5 6
10 6 4
10 7 1
10 8 0
10 9 3
10 11 5
10 12 3
10 13 5
11 0 5
11 1 5
11 2 3
11 3 2
11 4 4
11 5 1
11 6 2
11 7 4
11 8 6
11 9 8
11 10 5
11 12 3
11 13 2
12 0 3
12 1 4
12 2 5
12 3 5
12 4 6
12 5 3
12 6 1
12 7 2
12 8 3
12 9 5
12 10 3
12 11 3
12 13 3
13 0 4
13 1 4
13 2 2
13 3 3
13 4 6
13 5 2
13 6 2
13 7 3
13 8 5
13 9 7
13 10 5
13 11 2
13 12 3
